lon,lat,time
-63.6438199683745,11.571022273828236,14:33:04.2730562Z
-63.95865320786104,10.126120029327941,14:33:28.1804180Z
-64.27143315049635,8.681368946782863,14:33:52.0890406Z
-64.58273323618282,7.23619324889251,14:34:15.9991309Z
-64.89277742569925,5.790928233293532,14:34:39.9104126Z
-65.20191982119711,4.3453527894378015,14:35:03.8231507Z
-65.51056231402272,2.8954610729546024,14:35:27.7372153Z
-65.81765456812144,1.4500237759162933,14:35:51.6527121Z
-66.12481241940392,0.0046097235478392805,14:36:15.5695403Z
-66.43197102943867,-1.4405252949857406,14:36:39.4878385Z
-67.04855453070957,-4.33554028237758,14:37:27.3287578Z
-67.3570481263087,-5.779832502471798,14:37:51.2514901Z
-67.66784643302319,-7.228514891486131,14:38:15.1755884Z
-67.97876266291259,-8.672812361337783,14:38:39.1012338Z
-68.29152160360752,-10.116565054364123,14:39:03.0283021Z
-68.60686856214458,-11.564185958886217,14:39:26.9569616Z
-68.92320675800153,-13.007042473398158,14:39:50.8869737Z
-69.241978567186,-14.453684673774779,14:40:14.8186103Z
-69.56412665117834,-15.895610271565404,14:40:38.7516298Z
-69.89252308032917,-17.337421623545545,14:41:02.6862218Z
-70.22321194576138,-18.782420273139195,14:41:26.6222341Z
-70.55556424549815,-20.226795954135927,14:41:50.5597860Z
-70.8921478611687,-21.66591016974595,14:42:14.4988396Z
-71.23490719872619,-23.108943759970764,14:42:38.4392856Z
-70.21115877913054,62.85813045769456,15:57:37.4754614Z
-72.21677880749333,60.09415787457631,15:58:25.2284001Z
-76.14106976921805,53.105656965724705,16:00:24.6191763Z
-76.79398037941398,51.69547564835608,16:00:48.4988780Z
-77.41186285139763,50.28651417679797,16:01:12.3792614Z
-78.00170192752722,48.870648852408515,16:01:36.2604193Z
-78.56539449897662,47.45225120637017,16:02:00.1421173Z
-80.11525910253154,43.18976237090915,16:03:11.7914270Z
-80.59475605752468,41.76373985887838,16:03:35.6760770Z
-81.05777682343032,40.33618559169035,16:03:59.5613813Z
-81.50623935596663,38.90699298261333,16:04:23.4476610Z
-81.93918711609628,37.480618619909656,16:04:47.3346964Z
-82.36019026832912,36.04875286517311,16:05:11.2226768Z
-82.77038797782868,34.6153915052319,16:05:35.1114940Z
-83.17041611119606,33.181192304713576,16:05:59.0013386Z
-83.56071811495279,31.745653516821992,16:06:22.8920301Z
-83.94206838505616,30.3093453909648,16:06:46.7837909Z
-84.31531377370898,28.871890722071274,16:07:10.6764932Z
-86.08126822431612,21.677436264702287,16:09:10.1558735Z
-86.41854336095751,20.23558627798133,16:09:34.0551162Z
-86.75139731143753,18.792940364956156,16:09:57.9554092Z
-87.08045360875457,17.350336903327896,16:10:21.8570364Z
-87.40590670880069,15.906967299758282,16:10:45.7597336Z
-87.7281300300885,14.46308966490428,16:11:09.6637499Z
-88.04745429672036,13.018777091020583,16:11:33.5688909Z
-86.08326360908872,70.91756706587931,17:34:07.4358111Z
-87.98496117481338,69.60628512732931,17:34:31.3105735Z
-89.67119922120303,68.28246754048368,17:34:55.1855198Z
-91.18845124498404,66.94108890095873,17:35:19.0608270Z
-92.55664008531933,65.58758787268208,17:35:42.9364237Z
-93.79622019475771,64.22860717750017,17:36:06.8124650Z
-94.93088919805317,62.85737357457902,17:36:30.6887173Z
-95.9747521072669,61.478808569368894,17:36:54.5656369Z
-96.93548770654357,60.097937608967854,17:37:18.4427405Z
-97.82908423873677,58.70750526985778,17:37:42.3203510Z
-98.66208198366641,57.31191304017213,17:38:06.1984434Z
-99.4389460290597,55.91627528911101,17:38:30.0770030Z
-100.1714993809484,54.512783542729814,17:38:53.9561198Z
-100.86153970038971,53.10539359334201,17:39:17.8356541Z
-101.51522770898472,51.695360652543016,17:39:41.7159408Z
-102.1330709942904,50.28635593136028,17:40:05.5965696Z
-102.72225509439045,48.870402401280145,17:40:29.4781122Z
-103.28567512029841,47.45246648222769,17:40:53.3600831Z
-105.77878749414857,40.335940688356715,17:42:52.7813190Z
-106.22565784711075,38.9110527784953,17:43:16.6680057Z
-106.66047090122076,37.48027114755693,17:43:40.5552799Z
-107.08187931994964,36.04860092590801,17:44:04.4436845Z
-107.49192579966702,34.61501984532372,17:44:28.3328104Z
-107.89183876302471,33.18075393722513,17:44:52.2229907Z
-108.28278494509767,31.745371392807442,17:45:16.1140598Z
-108.66430384625417,30.309171465663358,17:45:40.0060150Z
-109.03822086150439,28.87179162269643,17:46:03.8989135Z
-109.40250054394686,27.437690654583637,17:46:27.7929522Z
-109.76125519236291,25.99879518927785,17:46:51.6879727Z
-110.11418131719589,24.55875782419796,17:47:15.5840234Z
-110.4610999794615,23.118379987450275,17:47:39.4811158Z
-112.70493278394767,69.60458979634636,19:13:24.4443911Z
-114.39226490488824,68.28075962072589,19:13:48.3188160Z
-115.9079171854813,66.93928146931218,19:14:12.1934710Z
-117.27686876961201,65.58614437132003,19:14:36.0684617Z
-118.51670430082368,64.22724498506929,19:14:59.9438046Z
-119.65155551487292,62.85580925714711,19:15:23.8194427Z
-120.69510800470914,61.47704780539871,19:15:47.6956778Z
-121.65572962756752,60.09620494903167,19:16:11.5720894Z
-122.54882712539026,58.70572194029559,19:16:35.4490674Z
-123.38220743931761,57.30988669405243,19:16:59.3264673Z
-124.15962883447648,55.914265483658674,19:17:23.2044398Z
-124.89175121673011,54.51068698489733,19:17:47.0829858Z
-125.58276201185701,53.10357392819225,19:18:10.9620144Z
-126.2346756435634,51.6974284627969,19:18:34.8416973Z
-126.85403758269982,50.284441327043645,19:18:58.7218770Z
-137.417033295152,69.60698272236286,20:52:17.5247458Z
-139.11016078748602,68.27933863050255,20:52:41.3983185Z
-140.62734395996094,66.93765329923184,20:53:05.2722487Z
-141.99260921928115,65.58860190453805,20:53:29.1463799Z
-143.2350149482997,64.22556931996516,20:53:53.0210076Z
-144.37120118065562,62.85430235619336,20:54:16.8959807Z
-145.41154288099497,61.47928525922432,20:54:40.7713540Z
-160.24521784819197,21.675172887289996,21:05:49.5498930Z
-163.8301495373628,68.2791667584482,22:31:34.4321507Z
-165.3469705414562,66.93851023571294,22:31:58.3054364Z
144.4903625756308,48.867729627311874,01:11:38.3254263Z
143.92866160779874,47.45379170284608,01:12:02.2054214Z
143.3892048941168,46.03337021178532,01:12:26.0859590Z
142.8717672147218,44.610788295490295,01:12:49.9674524Z
142.37458517309483,43.18642900852044,01:13:13.8493090Z
141.89715792980553,41.76468983891287,01:13:37.7322115Z
141.43421003989104,40.33689416116159,01:14:01.6157467Z
140.9861712684951,38.90769439920063,01:14:25.5003126Z
140.55256485702435,37.47699389467253,01:14:49.3855533Z
140.13205984433466,36.04910230611028,01:15:13.2717614Z
139.7211761337348,34.615926651690245,01:15:37.1587679Z
139.32109328862404,33.18146301306146,01:16:01.0468041Z
131.9505360029418,1.4513266537913776,01:24:46.8670886Z
131.64346030264554,0.006094949711175824,01:25:10.7828981Z
131.3352139914853,-1.4436650754420988,01:25:34.7001684Z
131.0278543560175,-2.8891514856612006,01:25:58.6189105Z
130.71961628543167,-4.334010929083321,01:26:22.5390850Z
130.10039693343177,-7.2278479031146805,01:27:10.3838574Z
129.78924655014126,-8.672071274339851,01:27:34.3085936Z
129.1610286795739,-11.563739559786805,01:28:22.1623091Z
128.52415930834576,-14.453634647407558,01:29:10.0221446Z
128.2022734435934,-15.895763835380135,01:29:33.9542475Z
127.87601422439526,-17.34153605238195,01:29:57.8879113Z
127.5470779309804,-18.782302248528044,01:30:21.8230645Z
127.21329594050185,-20.226884940860597,01:30:45.7598453Z
126.87638122771625,-21.666324738286406,01:31:09.6980361Z
126.53403666572058,-23.10921469344811,01:31:33.6377831Z
126.18716367253543,-24.546817803529326,01:31:57.5791320Z
125.8336766366135,-25.988099321102602,01:32:21.5218356Z
125.47456839433217,-27.424369959837936,01:32:45.4661524Z
125.1081195840694,-28.86373660540315,01:33:09.4118613Z
124.73419802344185,-30.30205103783744,01:33:33.3592067Z
124.35312220431041,-31.734908088676388,01:33:57.3079886Z
123.96244874049492,-33.17087858931383,01:34:21.2582473Z
123.5620596648171,-34.60572213169264,01:34:45.2098430Z
123.05239821673133,55.91171742669113,02:48:32.0417920Z
